name,at,user_class,subcription_during_event,custom_answer_was,custom_question_marked_as
Performed Background Fetch,2023-11-14T12:13:12,fnp_testprep,Mo (1225),,
Viewed Category From Carousel,2023-11-14T03:23:26,fnp_testprep,Mo (1225),,
Tapped On Home Cell,2023-11-14T03:23:26,fnp_testprep,Mo (1225),,
Awarded Content Credits,2023-11-14T03:23:19,fnp_testprep,Mo (1225),,
Selected Nav Item,2023-11-14T03:23:19,fnp_testprep,Mo (1225),,
Notifications Enabled,2023-11-14T03:23:14,fnp_testprep,Mo (1225),,
Performed Background Fetch,2023-10-29T12:48:06,fnp_testprep,Mo (1225),,
Selected Nav Item,2023-10-29T11:44:58,fnp_testprep,Mo (1225),,
Viewed Profile Screen,2023-10-29T11:44:44,fnp_testprep,Mo (1225),,
Selected Nav Item,2023-10-29T11:44:39,fnp_testprep,Mo (1225),,
Awarded Content Credits,2023-10-29T11:44:39,fnp_testprep,Mo (1225),,
Notifications Enabled,2023-10-29T11:44:34,fnp_testprep,Mo (1225),,
Performed Background Fetch,2023-10-23T22:26:45,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:25:57,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:25:26,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:25:23,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:24:57,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:24:54,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:24:50,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T21:24:26,fnp_testprep,Mo (1225),incorrect,
Answered Practice Question,2023-10-23T21:23:47,fnp_testprep,Mo (1225),incorrect,
Tapped Previous Practice Question,2023-10-23T21:22:58,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:22:54,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:21:23,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T21:21:17,fnp_testprep,Mo (1225),,
Selected Category Tag Filter,2023-10-23T21:21:02,fnp_testprep,Mo (1225),,
Viewed Category From Carousel,2023-10-23T21:20:57,fnp_testprep,Mo (1225),,
Tapped On Home Cell,2023-10-23T21:20:57,fnp_testprep,Mo (1225),,
Awarded Content Credits,2023-10-23T21:20:44,fnp_testprep,Mo (1225),,
Selected Nav Item,2023-10-23T21:20:44,fnp_testprep,Mo (1225),,
Notifications Enabled,2023-10-23T21:20:40,fnp_testprep,Mo (1225),,
Notifications Enabled,2023-10-23T21:20:40,fnp_testprep,Mo (1225),,
Notifications Enabled,2023-10-23T21:20:40,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:39:59,fnp_testprep,Mo (1225),incorrect,
Expanded Answer Choice Rationale,2023-10-23T11:39:53,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:39:51,fnp_testprep,Mo (1225),incorrect,
Skipped Practice Question,2023-10-23T11:39:34,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:33,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:31,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:30,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:27,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:39:26,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:39:24,fnp_testprep,Mo (1225),correct,
Skipped Practice Question,2023-10-23T11:39:15,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:11,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:09,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:08,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:06,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:39:00,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:38:57,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:38:55,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:38:54,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:38:52,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:38:49,fnp_testprep,Mo (1225),correct,
Expanded Answer Choice Rationale,2023-10-23T11:38:30,fnp_testprep,Mo (1225),,
Tapped Show Question,2023-10-23T11:38:22,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-23T11:38:16,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:38:15,fnp_testprep,Mo (1225),correct,
Skipped Practice Question,2023-10-23T11:38:01,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:59,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:57,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:55,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:54,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:52,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:48,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:47,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:45,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:37:44,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:37:41,fnp_testprep,Mo (1225),correct,
Tapped Previous Practice Question,2023-10-23T11:37:28,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:25,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:23,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:37:22,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:37:20,fnp_testprep,Mo (1225),correct,
Skipped Practice Question,2023-10-23T11:37:12,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:10,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:37:09,fnp_testprep,Mo (1225),,
Selected Category Tag Filter,2023-10-23T11:37:04,fnp_testprep,Mo (1225),,
Viewed Category From Carousel,2023-10-23T11:37:02,fnp_testprep,Mo (1225),,
Tapped On Home Cell,2023-10-23T11:37:02,fnp_testprep,Mo (1225),,
Selected Category Tag Filter,2023-10-23T11:36:52,fnp_testprep,Mo (1225),,
Selected Category Tag Filter,2023-10-23T11:36:47,fnp_testprep,Mo (1225),,
Selected Category Tag Filter,2023-10-23T11:36:44,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:36:42,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:36:28,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:36:26,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:36:25,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:36:22,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:36:17,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:36:13,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-23T11:36:11,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-23T11:36:08,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:36:07,fnp_testprep,Mo (1225),correct,
Tapped Previous Practice Question,2023-10-23T11:35:39,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:38,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:35,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:34,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:32,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:24,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:22,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:20,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:18,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:13,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:11,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:35:02,fnp_testprep,Mo (1225),,
